Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2000-15,ISO
Albania,0.066666205,0.079403314,0.04231371,0.057734906,0.057095566,0.0572082,0.054310127,0.059,0.0753,0.0335,0.0371,0.0255,0.0142,0.0111,0.018,0.0259,0.879598529,ALB
Algeria,0.038200092,0.03008404,0.056089884,0.07201605,0.043020105,0.059076662,0.016843348,0.033730159,0.023601089,0.016320824,0.036341078,0.02891934,0.033749525,0.027672963,0.037891858,0.03763485,0.727272727,DZA
Andorra,0.011657871,0.060667806,0.064268452,0.120239197,0.080695043,0.078397045,0.045853106,0.000780394,-0.08594256,-0.03817986,-0.053479772,-0.04802675,-0.017600103,-0.000635143,,,,AND
Angola,0.030120762,0.042209651,-0.069404616,0.052474945,0.108795775,0.182614503,0.207351249,0.225930543,0.138171458,0.024128697,0.034076548,0.03918597,0.051554405,0.068135858,0.04804175,0.030073548,2.011407073,AGO
Antigua and Barbuda,0.06084635,-0.051961664,0.010877197,0.061105395,0.05811431,0.062872837,0.128049608,0.092896144,0.000476764,-0.12035555,-0.070417247,-0.01763273,0.038374698,-0.002000917,0.046027934,0.041269971,0.27900073,ATG
Argentina,-0.00788834,-0.044088646,-0.108945322,0.088368527,0.090296899,0.088515412,0.080472277,0.090078094,0.040571596,-0.059186504,0.101253779,0.060041027,-0.010263616,0.024052037,-0.025126169,0.026472424,0.501650165,ARG
Armenia,0.059,0.095566415,0.131863005,0.140407951,0.104678419,0.138657113,0.131980035,0.13749202,0.069,-0.141499886,0.022,0.047,0.072,0.033,0.036,0.03,1.657764506,ARM
Australia,0.038678166,0.019300744,0.038529609,0.03068277,0.041457012,0.03203595,0.029777012,0.037502689,0.03697631,0.018119695,0.020064263,0.023729525,0.03634188,0.025698545,0.026091921,0.024213834,0.546635183,AUS
Austria,0.033684742,0.013505028,0.016557973,0.007562103,0.02705709,0.021409272,0.033506775,0.036214888,0.015474006,-0.037992496,0.019288035,0.028079608,0.007458203,0.001242079,0.00644734,0.009632383,0.223214286,AUT
Azerbaijan,0.110999993,0.099,0.105999992,0.112000002,0.102000004,0.264000008,0.344999995,0.250489995,0.107724208,0.094106538,0.048543393,0.000659228,0.022000002,0.057966784,0.02,0.010999998,3.489799114,AZE
