wb_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2000-2015,ISO,
Albania,0.012285012,0.066747573,0.163822526,0.144672532,-0.029888984,0.021126761,-0.08362069,0.00752587,0.113912232,0.000838223,0.050251256,0.139553429,-0.100769769,0.021789883,-0.003732023,0.012003279,0.606555026,ALB,
Algeria,-0.045459974,-0.041369532,0.077826598,0.018485631,-0.032852501,0.197049785,-0.055658246,0.082354647,0.007334226,0.100934207,-0.018571644,0.016861538,0.072621641,0.032526518,0.072584006,0.042385605,0.70656017,DZA,
Andorra,0.021428571,0,0.013986014,0.006896552,0.054794521,0.019480519,-0.050955414,-0.013422819,0,-0.040816327,0,-0.04964539,0,0,0.00710376,0.007375926,-0.049319586,AND,
Angola,0.042050461,0.019984627,0.301431801,-0.284308049,1.073220065,0.019317073,0.162327718,0.129611331,0.022160665,0.081015547,0.045520517,0.044169611,0.100797679,-0.027997365,-0.000545141,0.016048384,2.455100984,AGO,
Antigua and Barbuda,-0.010526316,0,0.053191489,0.070707071,0.047169811,0.009009009,0.035714286,0.103448276,0.0234375,0.061068702,0.028776978,-0.020979021,0.021428571,0,0.024332195,0.022473021,0.593312137,ATG,
Argentina,-0.032981563,-0.059208999,-0.067350409,0.082975595,0.166784318,0.028691099,0.082202316,-0.001484052,0.079525235,-0.04836145,0.044217133,0.019767396,0.003788821,-0.01321082,0.006122732,0.013803204,0.362189337,ARG,
Armenia,0.149635036,0.022222222,-0.140786749,0.126506024,0.063101604,0.19416499,0.00673968,0.155648536,0.09775525,-0.215699208,-0.032800673,0.166086957,0.158090977,-0.03477141,-0.005988749,0.023554537,0.613883242,ARM,
Australia,0.017955416,0.022201258,0.011765745,0.017920092,0.035763345,0.010646569,0.014401556,0.019641224,0.013593658,0.010416271,-0.005502495,-0.006143424,0.006830026,-0.023492704,-0.009541085,0.016826374,0.142493542,AUS,
Austria,0.009360468,0.060727929,0.025990527,0.081764053,0.004678608,0.015301949,-0.033340876,-0.03466358,-0.002717922,-0.08618676,0.071644588,-0.030395748,-0.037375434,0.003817837,-0.054366004,0.035486116,0.004047538,AUT,
Azerbaijan,0.032593353,-0.024978253,0.0293143,0.033803863,0.048149479,0.070049137,0.140645023,-0.221046718,0.163701923,-0.101425325,-0.038390805,0.090246235,0.063041333,0.002475248,0.046797598,0.028232237,0.300128255,AZE,
"Bahamas, The",-0.004376368,-0.059340659,0.004672897,-0.037209302,0.1352657,0.010638298,-0.044210526,0.015418502,-0.114967462,0.098039216,0.5,-0.226190476,0.005769231,0.621414914,0.02326875,0.022433832,0.949886706,BHS,
Bahrain,0.034595035,-0.252950433,0.127172196,0.049053959,0.063237586,0.096963351,-0.019663994,0.417526777,0.109355681,-0.077894737,0.067150148,0.007802668,-0.009490509,0.09871407,-0.024359661,0.063710209,0.77899581,BHR,
Bangladesh,0.104330137,0.164605263,0.03852672,0.058311575,0.056949013,0.047072554,0.102916589,0.019875358,0.116019818,0.086052534,0.114593269,0.059657702,0.06149054,0.02179111,0.040918188,0.066099321,1.745540266,BGD,
Barbados,-0.018181818,0.027777778,0.006006006,0.032835821,0.020231214,0.045325779,0.013550136,-0.005347594,0.188172043,-0.002262443,-0.0861678,0.034739454,-0.038369305,-0.014962594,0.02382016,0.020478679,0.273736803,BRB,
Belarus,-0.041432492,-0.019089174,-0.006741729,0.021482052,0.086450199,0.017339218,0.049085838,-0.024930584,0.042653741,-0.03870068,0.032883999,0.015918535,-0.006797627,0.00864219,0.010547751,-0.055725653,0.131315435,BLR,
